distance,tasks,shots,logical_errors,sum_replica_elapsed_sec,mean_replica_elapsed_sec,min_replica_elapsed_sec,max_replica_elapsed_sec,sum_subprocess_wall_sec
3,32,3200000,139119,4.125157594680786,0.12891117483377457,0.04969167709350586,0.2986588478088379,35.39305631000116
5,32,3200000,214857,33.644582986831665,1.0513932183384895,0.28075218200683594,3.430112838745117,63.5638697580016
7,32,3200000,276109,126.03202700614929,3.9385008439421654,1.0647141933441162,10.331125020980835,156.35616814499917
9,32,3200000,323699,303.95299434661865,9.498531073331833,2.358776569366455,27.84560799598694,333.4126215640008
