distance,physical_error_rate,active_qubits,detectors,matching_edges,logical_errors,shots,replicas,logical_error_rate,ci95_low,ci95_high,total_elapsed_sec
3,0.001,17,24,78,302,400000,4,0.000755,0.0006745394094270907,0.0008450499964362557,0.22044730186462402
3,0.00153413,17,24,78,710,400000,4,0.001775,0.0016492491903628804,0.0019103206235286275,0.23918795585632324
3,0.00235355,17,24,78,1685,400000,4,0.0042125,0.004016491204623198,0.004418031790217961,0.26760315895080566
3,0.00361064,17,24,78,3781,400000,4,0.0094525,0.009157302809484973,0.009757119536402821,0.3287503719329834
3,0.00553918,17,24,78,8524,400000,4,0.02131,0.020867027053828043,0.02176216753538713,0.42159318923950195
3,0.00849781,17,24,78,18114,400000,4,0.045285,0.04464497818269086,0.04593375589914702,0.6130974292755127
3,0.01303673,17,24,78,36762,400000,4,0.091905,0.09101363006948684,0.09280420854399113,0.8399419784545898
3,0.02,17,24,78,69241,400000,4,0.1731025,0.17193316593672658,0.17427811305015,1.1797618865966797
5,0.001,49,120,502,52,400000,4,0.00013,9.914411446328283e-05,0.00017045729628476836,1.0310454368591309
5,0.00153413,49,120,502,204,400000,4,0.00051,0.00044466498955370286,0.0005849291222244479,1.163492202758789
5,0.00235355,49,120,502,689,400000,4,0.0017225,0.0015986886132548007,0.001855882209047022,1.4555320739746094
5,0.00361064,49,120,502,2271,400000,4,0.0056775,0.005449354422267588,0.005915140433123822,1.9918041229248047
5,0.00553918,49,120,502,7676,400000,4,0.01919,0.018769431089827666,0.019619804219956422,2.966968297958374
5,0.00849781,49,120,502,22842,400000,4,0.057105,0.05639013525405681,0.05782837179140153,4.6156415939331055
5,0.01303673,49,120,502,59273,400000,4,0.1481825,0.14708485231993204,0.14928690532570751,7.031785726547241
5,0.02,49,120,502,121850,400000,4,0.304625,0.3032005573434251,0.3060531953835337,10.575883865356445
7,0.001,97,336,1558,7,400000,4,1.75e-05,8.477076352881683e-06,3.612649527441641e-05,3.8806848526000977
7,0.00153413,97,336,1558,51,400000,4,0.0001275,9.698233305822912e-05,0.00016761912570936093,3.685220956802368
7,0.00235355,97,336,1558,206,400000,4,0.000515,0.00044932377474830366,0.0005902702409907694,4.5828142166137695
7,0.00361064,97,336,1558,1175,400000,4,0.0029375,0.0027744899635274403,0.003110057521278516,6.801788568496704
7,0.00553918,97,336,1558,5756,400000,4,0.01439,0.014025565823589884,0.01476376168370874,9.813157796859741
7,0.00849781,97,336,1558,25344,400000,4,0.06336,0.06260923226378805,0.06411915463678415,16.15441870689392
7,0.01303673,97,336,1558,81516,400000,4,0.20379,0.20254451201749918,0.20504117752953843,25.899563312530518
7,0.02,97,336,1558,162054,400000,4,0.405135,0.403614546993135,0.4066572751562852,39.96696138381958
9,0.001,161,720,3534,1,400000,4,2.5e-06,4.4130017201882584e-07,1.416255957251219e-05,6.9956138134002686
9,0.00153413,161,720,3534,5,400000,4,1.25e-05,5.339185522640891e-06,2.926448214373485e-05,7.822919607162476
9,0.00235355,161,720,3534,77,400000,4,0.0001925,0.0001540399922192419,0.00024056021804033878,12.599287748336792
9,0.00361064,161,720,3534,549,400000,4,0.0013725,0.0012624575732427088,0.0014921199717945486,15.312041282653809
9,0.00553918,161,720,3534,4306,400000,4,0.010765,0.010449862371289914,0.011089534764339997,24.09766387939453
9,0.00849781,161,720,3534,27432,400000,4,0.06858,0.06780089118412543,0.06936739545164973,39.961867570877075
9,0.01303673,161,720,3534,104919,400000,4,0.2622975,0.2609365743193211,0.2636629914264496,67.05162048339844
9,0.02,161,720,3534,186410,400000,4,0.466025,0.4644793989818135,0.46757125360371926,104.51491641998291
